career,interests,strengths,field,education,learning_rate,time_horizon,risk_tolerance
Software Engineer,"Tech, Logic, Coding","Focus, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Software Engineer,"Tech, APIs, Logic, Coding","Adaptability, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Software Engineer,"Tech, APIs, Coding","Focus, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Software Engineer,"Tech, Math, Coding","Adaptability, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Software Engineer,"Tech, Logic, Coding","Adaptability, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Software Engineer,"Tech, APIs, Coding","Adaptability, Problem Solving",Arts,Bachelor's,Fast,Short (1-2 yrs),Medium
Software Engineer,"Tech, APIs, Coding","Focus, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Software Engineer,"Tech, APIs, Logic, Coding","Adaptability, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Software Engineer,"Tech, Logic, Coding","Focus, Problem Solving",Arts,Bachelor's,Fast,Short (1-2 yrs),Medium
Software Engineer,"Tech, APIs, Logic, Coding","Focus, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Software Engineer,"Tech, Logic, Coding","Adaptability, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Software Engineer,"Tech, APIs, Coding","Adaptability, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Software Engineer,"Tech, Logic, Coding","Focus, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Software Engineer,"Tech, APIs, Math, Coding","Focus, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Software Engineer,"Tech, APIs, Logic, Coding","Focus, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Software Engineer,"Tech, APIs, Math, Coding","Adaptability, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Software Engineer,"Tech, APIs, Logic, Coding","Adaptability, Problem Solving",Arts,Bachelor's,Fast,Short (1-2 yrs),Medium
Software Engineer,"Tech, APIs, Math, Coding","Adaptability, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Data Analyst,"Statistics, Analysis, Excel, Math","Focus, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Data Analyst,"Statistics, Analysis, Excel, SQL","Attention to Detail, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Data Analyst,"Statistics, Analysis, Excel, SQL","Focus, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Data Analyst,"Statistics, Analysis, SQL, Math","Focus, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Data Analyst,"Statistics, Analysis, SQL, Math","Attention to Detail, Logic",Commerce,Bachelor's,Fast,Short (1-2 yrs),Medium
Data Analyst,"Statistics, Analysis, Math","Attention to Detail, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Data Analyst,"Statistics, Analysis, Excel, SQL","Attention to Detail, Logic",Science,Bachelor's,Fast,Short (1-2 yrs),Low
Data Analyst,"Statistics, Analysis, Excel, Math","Attention to Detail, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Data Analyst,"Statistics, Analysis, Excel, SQL","Attention to Detail, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Data Analyst,"Statistics, Analysis, Excel, Math","Attention to Detail, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Data Analyst,"Statistics, Analysis, Excel, Math","Focus, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Data Analyst,"Statistics, Analysis, SQL","Attention to Detail, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Data Analyst,"Statistics, Analysis, Excel","Attention to Detail, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Data Analyst,"Statistics, Analysis, Excel","Attention to Detail, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Data Analyst,"Statistics, Analysis, Excel, SQL","Attention to Detail, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Data Analyst,"Statistics, Analysis, Math","Attention to Detail, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Data Analyst,"Statistics, Analysis, Math","Focus, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Data Analyst,"Statistics, Analysis, Excel, SQL","Attention to Detail, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Data Analyst,"Statistics, Analysis, Excel, Math","Attention to Detail, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Data Analyst,"Statistics, Analysis, Excel, Math","Focus, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Data Analyst,"Statistics, Analysis, Excel","Focus, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Data Analyst,"Statistics, Analysis, Excel, Math","Attention to Detail, Logic",Science,Bachelor's,Fast,Short (1-2 yrs),Medium
Data Analyst,"Statistics, Analysis, Excel","Attention to Detail, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Data Analyst,"Statistics, Analysis, Excel, SQL","Attention to Detail, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Data Analyst,"Statistics, Analysis, Excel","Focus, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Data Analyst,"Statistics, Analysis, Math","Attention to Detail, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Data Analyst,"Statistics, Analysis, Excel, SQL","Focus, Logic",Commerce,Bachelor's,Fast,Short (1-2 yrs),Medium
Data Analyst,"Statistics, Analysis, Excel, SQL","Attention to Detail, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Data Analyst,"Statistics, Analysis, Excel, Math","Attention to Detail, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Data Analyst,"Statistics, Analysis, SQL","Attention to Detail, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Data Analyst,"Statistics, Analysis, SQL","Attention to Detail, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Data Analyst,"Statistics, Analysis, Excel","Focus, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Data Analyst,"Statistics, Analysis, Excel, SQL","Attention to Detail, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Data Analyst,"Statistics, Analysis, Excel, Math","Focus, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Data Analyst,"Statistics, Analysis, SQL, Math","Attention to Detail, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Data Analyst,"Statistics, Analysis, SQL, Math","Focus, Logic",Science,Bachelor's,Fast,Short (1-2 yrs),Medium
Data Analyst,"Statistics, Analysis, Excel, SQL","Focus, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Data Analyst,"Statistics, Analysis, SQL, Math","Attention to Detail, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Data Analyst,"Statistics, Analysis, SQL, Math","Focus, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Data Analyst,"Statistics, Analysis, Math","Focus, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Data Analyst,"Statistics, Analysis, Excel, SQL","Focus, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Data Analyst,"Statistics, Analysis, Excel, Math","Attention to Detail, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Data Analyst,"Statistics, Analysis, Excel, SQL","Attention to Detail, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Data Analyst,"Statistics, Analysis, Excel","Attention to Detail, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Data Analyst,"Statistics, Analysis, Excel","Attention to Detail, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Data Analyst,"Statistics, Analysis, Excel, Math","Focus, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Data Analyst,"Statistics, Analysis, Math","Attention to Detail, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Data Analyst,"Statistics, Analysis, SQL","Focus, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Data Analyst,"Statistics, Analysis, SQL, Math","Focus, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Data Analyst,"Statistics, Analysis, SQL, Math","Focus, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Data Analyst,"Statistics, Analysis, Excel, SQL","Focus, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Data Analyst,"Statistics, Analysis, Excel","Focus, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Data Analyst,"Statistics, Analysis, Excel, Math","Attention to Detail, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Data Analyst,"Statistics, Analysis, Excel, SQL","Focus, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Data Analyst,"Statistics, Analysis, Excel, Math","Attention to Detail, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Data Analyst,"Statistics, Analysis, Math","Attention to Detail, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Data Analyst,"Statistics, Analysis, Excel","Attention to Detail, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Data Analyst,"Statistics, Analysis, Math","Focus, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Data Analyst,"Statistics, Analysis, Excel","Attention to Detail, Logic",Commerce,Bachelor's,Fast,Short (1-2 yrs),Medium
Data Analyst,"Statistics, Analysis, Excel, SQL","Attention to Detail, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Data Analyst,"Statistics, Analysis, Excel, Math","Focus, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Data Analyst,"Statistics, Analysis, Excel, SQL","Attention to Detail, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Data Analyst,"Statistics, Analysis, SQL, Math","Attention to Detail, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Data Analyst,"Statistics, Analysis, SQL, Math","Focus, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Data Analyst,"Statistics, Analysis, Excel, SQL","Focus, Logic",Commerce,Bachelor's,Fast,Short (1-2 yrs),Low
Data Analyst,"Statistics, Analysis, Math","Focus, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Data Analyst,"Statistics, Analysis, Excel","Focus, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Data Analyst,"Statistics, Analysis, Excel, Math","Focus, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Data Analyst,"Statistics, Analysis, Excel, SQL","Focus, Logic",Science,Bachelor's,Fast,Short (1-2 yrs),Medium
Data Analyst,"Statistics, Analysis, Math","Attention to Detail, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Data Analyst,"Statistics, Analysis, SQL","Attention to Detail, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Data Analyst,"Statistics, Analysis, Excel","Focus, Logic",Arts,Bachelor's,Fast,Short (1-2 yrs),Low
Data Analyst,"Statistics, Analysis, Excel, Math","Focus, Logic",Commerce,Bachelor's,Fast,Short (1-2 yrs),Low
Data Analyst,"Statistics, Analysis, Excel, Math","Focus, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Data Analyst,"Statistics, Analysis, Excel","Focus, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Data Analyst,"Statistics, Analysis, Excel","Focus, Logic",Arts,Bachelor's,Fast,Short (1-2 yrs),Low
Data Analyst,"Statistics, Analysis, Excel, Math","Focus, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Data Analyst,"Statistics, Analysis, Excel","Attention to Detail, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Data Analyst,"Statistics, Analysis, SQL","Focus, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Data Analyst,"Statistics, Analysis, Math","Focus, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Data Analyst,"Statistics, Analysis, SQL, Math","Focus, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Data Analyst,"Statistics, Analysis, Excel, SQL","Focus, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Data Analyst,"Statistics, Analysis, Excel","Focus, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Data Analyst,"Statistics, Analysis, Excel, SQL","Focus, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Data Analyst,"Statistics, Analysis, Excel","Attention to Detail, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Data Analyst,"Statistics, Analysis, Excel, SQL","Focus, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Data Analyst,"Statistics, Analysis, Excel, Math","Attention to Detail, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Data Analyst,"Statistics, Analysis, Excel, Math","Focus, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Data Analyst,"Statistics, Analysis, Math","Focus, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Data Analyst,"Statistics, Analysis, Excel, SQL","Attention to Detail, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Data Analyst,"Statistics, Analysis, SQL","Attention to Detail, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Data Analyst,"Statistics, Analysis, SQL, Math","Attention to Detail, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Data Analyst,"Statistics, Analysis, Excel","Attention to Detail, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Data Analyst,"Statistics, Analysis, SQL","Focus, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Data Analyst,"Statistics, Analysis, Excel, Math","Attention to Detail, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Data Analyst,"Statistics, Analysis, SQL","Focus, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Data Analyst,"Statistics, Analysis, SQL, Math","Attention to Detail, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Data Analyst,"Statistics, Analysis, Excel","Attention to Detail, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Data Analyst,"Statistics, Analysis, Excel, Math","Focus, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Data Analyst,"Statistics, Analysis, Excel, SQL","Focus, Logic",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Product Manager (Tech),"Management, Strategy, Tech","Leadership, Communication",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Product Manager (Tech),"Management, Strategy, Business, Tech","Leadership, Communication",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Product Manager (Tech),"Management, Strategy, Business, Tech","Leadership, Empathy",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Product Manager (Tech),"Management, UX, Strategy, Tech","Leadership, Empathy",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Product Manager (Tech),"Management, UX, Tech","Leadership, Communication",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Product Manager (Tech),"Management, Strategy, Tech","Leadership, Communication",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Product Manager (Tech),"Management, Business, Tech","Leadership, Empathy",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Product Manager (Tech),"Management, UX, Tech","Leadership, Communication",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Product Manager (Tech),"Management, Business, Tech","Leadership, Communication",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Product Manager (Tech),"Management, Strategy, Business, Tech","Leadership, Empathy",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Product Manager (Tech),"Management, UX, Business, Tech","Leadership, Communication",Arts,Bachelor's,Fast,Short (1-2 yrs),Low
Product Manager (Tech),"Management, Strategy, Tech","Leadership, Communication",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Product Manager (Tech),"Management, Strategy, Business, Tech","Leadership, Communication",Science,Bachelor's,Fast,Short (1-2 yrs),Low
Product Manager (Tech),"Management, Strategy, Business, Tech","Leadership, Empathy",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Product Manager (Tech),"Management, Strategy, Business, Tech","Leadership, Empathy",Science,Bachelor's,Fast,Short (1-2 yrs),Medium
Product Manager (Tech),"Management, UX, Strategy, Tech","Leadership, Communication",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Product Manager (Tech),"Management, UX, Business, Tech","Leadership, Communication",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Product Manager (Tech),"Management, Strategy, Tech","Leadership, Empathy",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Product Manager (Tech),"Management, Strategy, Business, Tech","Leadership, Empathy",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Product Manager (Tech),"Management, UX, Business, Tech","Leadership, Empathy",Arts,Bachelor's,Fast,Short (1-2 yrs),Low
